response,"ingredients_Exotic Fruits such as kiwi, dragon fruit, blue berry","ingredients_Non seasonal fruits such as pineapple, apple, banana, papaya","ingredients_Seasonal fruits such as mango, orange, grapes, watermelon","ingredients_Veggies such as carrot, cucumber, tomato",volume_350 ml,volume_500 ml,volume_Greater than 750 ml,volume_Less than 300 ml,price_Between ₹150 - ₹250,price_Between ₹250 - ₹400,price_Less than ₹150,price_More than ₹400,beverage_type_Cold pressed juice,beverage_type_Dairy based lassi or smoothies,beverage_type_Fusion of two or more fruits and nuts,beverage_type_Healthy detox juice,beverage_type_Mocktails,location_Equal preference,location_Food Court in malls,location_Stand-alone outlets
0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
0,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
0,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
0,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
0,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False
0,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
0,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
0,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False
0,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False
0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
1,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False
0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False
0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
0,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
0,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
0,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
0,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True
0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False
0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False
0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False
0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False
0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False
0,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False
0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
0,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False
0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False
0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False
0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True
1,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
0,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False
0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
1,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
0,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False
0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False
0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False
0,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
1,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False
0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
0,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
0,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False
